destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Africa,Eritrea,The Democratic Republic of the Congo,"1,688",15,39,0,25
Africa,Eritrea,Ethiopia,108,15,39,8,38
Africa,Eritrea,France,436,15,39,46,2
Africa,Eritrea,India,119,15,39,20,77
Africa,Eritrea,Kenya,351,15,39,1,38
Africa,Eritrea,Malawi,772,15,39,-13.5,34
Africa,Eritrea,Mozambique,"1,107",15,39,-18.25,35
Africa,Eritrea,Rwanda,467,15,39,-2,30
Africa,Eritrea,Somalia,"2,457",15,39,6,48
Africa,Eritrea,South Africa,122,15,39,-30,26
Africa,Eritrea,South Sudan,"1,490",15,39,8,30
Africa,Eritrea,Sudan,208,15,39,16,30
Africa,Eritrea,Uganda,"1,524",15,39,2,33
Africa,Eritrea,United Kingdom,56,15,39,54,-4
Africa,Eritrea,United Republic of Tanzania,526,15,39,-6,35
Africa,Eritrea,Zambia,241,15,39,-15,30
Africa,Eritrea,Zimbabwe,324,15,39,-19,29
Africa,Ethiopia,Burundi,40,8,38,-3.5,30
Africa,Ethiopia,The Democratic Republic of the Congo,102,8,38,0,25
Africa,Ethiopia,Djibouti,"3,705",8,38,11.5,42.5
Africa,Ethiopia,Eritrea,"156,030",8,38,15,39
Africa,Ethiopia,Rwanda,150,8,38,-2,30
Africa,Ethiopia,Somalia,"442,910",8,38,6,48
Africa,Ethiopia,South Sudan,"375,202",8,38,8,30
Africa,Ethiopia,Sudan,"24,539",8,38,16,30
Africa,Ethiopia,Uganda,218,8,38,2,33
Africa,Ethiopia,Yemen,145,8,38,15.5,47.5
Africa,Kenya,Burundi,"4,345",1,38,-3.5,30
Africa,Kenya,The Democratic Republic of the Congo,"11,292",1,38,0,25
Africa,Kenya,Eritrea,"2,127",1,38,15,39
Africa,Kenya,Ethiopia,"36,889",1,38,8,38
Africa,Kenya,Mozambique,601,1,38,-18.25,35
Africa,Kenya,Namibia,68,1,38,-22,17
Africa,Kenya,Rwanda,"6,330",1,38,-2,30
Africa,Kenya,Somalia,"488,470",1,38,6,48
Africa,Kenya,South Africa,112,1,38,-30,26
Africa,Kenya,South Sudan,"92,355",1,38,8,30
Africa,Kenya,Sudan,"7,614",1,38,16,30
Africa,Kenya,Uganda,"333,789",1,38,2,33
Africa,Kenya,United Republic of Tanzania,"39,935",1,38,-6,35
Africa,Madagascar,China,"1,979",-20,47,35,105
