Country,Continent,Year,GDP_per_capita,life_expectancy,Population
Cote d'Ivoire,Africa,2010,1512.080876,49.642,19737800
Cameroon,Africa,2010,2017.815915,53.718,19598889
Angola,Africa,2010,5497.618103,50.689,19081912
Chile,S. America,2010,14038.37229,79.168,17113688
Netherlands,Europe,2010,36526.12179,80.621,16612988
Burkina Faso,Africa,2010,1277.686645,55.081,16468714
Kazakhstan,Asia,2010,11040.26145,66.108,16026367
Niger,Africa,2010,661.1771297,56.956,15511953
Mali,Africa,2010,1121.551629,53.788,15369809
Malawi,Africa,2010,844.4226901,53.536,14900841
Ecuador,S. America,2010,7182.70775,75.647,14464739
Guatemala,N. America,2010,5181.687337,71.1,14388929
Cambodia,Asia,2010,1858.477823,70.811,14138255
Zambia,Africa,2010,1420.231814,54.549,13088570
Zimbabwe,Africa,2010,479.8247801,53.684,12571454
Senegal,Africa,2010,1740.515097,62.934,12433728
Greece,Europe,2010,24947.10641,80.23,11359346
Cuba,N. America,2010,9626.113792,78.736,11257979
Chad,Africa,2010,1759.973441,49.794,11227208
Belgium,Europe,2010,32832.33518,80.007,10712066
Portugal,Europe,2010,20350.98257,79.291,10675572
Rwanda,Africa,2010,1094.057911,62.276,10624005
Czech Rep.,Europe,2010,22526.65908,77.267,10492960
Tunisia,Africa,2010,7664.840299,75.147,10480934
Haiti,N. America,2010,1148.748227,45,9993247
Hungary,Europe,2010,16982.81705,74.227,9983645
Guinea,Africa,2010,939.3718791,55.317,9981590
Bolivia,S. America,2010,4095.214842,66.362,9929849
Dominican Rep.,N. America,2010,6663.746169,72.734,9927320
Serbia,Europe,2010,9437.814608,73.676,9856222
Belarus,Europe,2010,12490.18818,69.613,9595421
South Sudan,Africa,2010,2709.001354,53.488,9415421
Sweden,Europe,2010,33316.77213,81.426,9379687
Somalia,Africa,2010,948.4843629,53,9330872
Azerbaijan,Europe,2010,9325.554448,70.518,9187783
Benin,Africa,2010,1438.986214,58.797,8849892
Austria,Europe,2010,35816.33659,80.595,8393644
Burundi,Africa,2010,468.4321824,52.638,8382849
Switzerland,Europe,2010,37220.03817,82.192,7664318
Honduras,N. America,2010,3516.584288,72.854,7600524
United Arab Emirates,Asia,2010,31040.25452,76.325,7511690
Bulgaria,Europe,2010,10990.43751,73.243,7494332
Israel,Asia,2010,26459.26565,81.295,7418400
"Hong Kong, China",Asia,2010,41939.22256,82.84,7053189
Tajikistan,Asia,2010,1768.095085,66.83,6878637
Papua New Guinea,Oceania,2010,2073.925052,61.994,6858266
Paraguay,S. America,2010,4508.385932,72.016,6454548
Libya,Africa,2010,11842.3861,74.732,6355112
Laos,Asia,2010,2466.641376,66.957,6200894
El Salvador,N. America,2010,5677.271041,71.88,6192993
Jordan,Asia,2010,5201.959287,73.39,6187227
Togo,Africa,2010,925.3900846,55.514,6027798
Sierra Leone,Africa,2010,889.5818389,44.846,5867536
Nicaragua,N. America,2010,2871.903509,73.84,5788163
Denmark,Europe,2010,32828.74123,78.969,5550142
Slovak Republic,Europe,2010,19794.74169,75.02,5462119
Finland,Europe,2010,31053.39703,79.987,5364546
Kyrgyzstan,Asia,2010,2018.144688,67.054,5334223
Eritrea,Africa,2010,561.0500065,61.275,5253676
Singapore,Asia,2010,48324.58055,81.788,5086418
Turkmenistan,Asia,2010,6427.023204,65,5041995
Norway,Europe,2010,46595.82113,81.064,4883111
Costa Rica,N. America,2010,10122.52882,79.28,4658887
Ireland,Europe,2010,35257.17453,80.151,4469900
Croatia,Europe,2010,13615.80718,76.54,4403330
Central African Rep.,Africa,2010,701.6569599,48.139,4401051
New Zealand,Oceania,2010,24607.28417,80.67,4368136
Georgia,Europe,2010,4388.666828,73.883,4352244
Lebanon,Asia,2010,13657.99158,79.11,4227597
"Congo, Rep.",Africa,2010,4049.163661,57.229,4042899
West Bank and Gaza,Asia,2010,3934.957429,72.64,4039192
Liberia,Africa,2010,450.1173633,59.459,3994122
Bosnia and Herzegovina,Europe,2010,7596.007881,75.898,3760149
Moldova,Europe,2010,2794.926563,68.541,3572885
Panama,N. America,2010,11494.67388,76.916,3516820
Mauritania,Africa,2010,1801.646396,61.064,3459773
Uruguay,S. America,2010,12097.77465,76.787,3368786
Lithuania,Europe,2010,15408.12507,71.631,3323611
Albania,Europe,2010,6746.445312,76.78,3204284
Armenia,Europe,2010,4598.933383,74.291,3092072
Oman,Asia,2010,29371.91689,75.721,2782435
Mongolia,Asia,2010,3345.801346,66.825,2756001
Jamaica,N. America,2010,6892.469439,72.897,2741052
Kuwait,Asia,2010,39766.96425,73.992,2736732
Namibia,Africa,2010,5159.794219,62.594,2283289
Latvia,Europe,2010,13466.90975,71.836,2252060
Lesotho,Africa,2010,1801.349543,47.584,2171318
"Macedonia, FYR",Europe,2010,8732.604054,74.731,2060563
Slovenia,Europe,2010,24515.9774,79.125,2029680
Botswana,Africa,2010,13181.34202,46.588,2006945
Qatar,Asia,2010,82181.86737,77.959,1758793
Gambia,Africa,2010,793.6184343,58.109,1728394
Guinea-Bissau,Africa,2010,595.5368598,53.578,1515224
Gabon,Africa,2010,12542.54603,62.333,1505463
Trinidad and Tobago,N. America,2010,17716.97671,69.55,1341465
Estonia,Europe,2010,16865.75955,74.094,1341140
Mauritius,Africa,2010,12317.23559,73.142,1299172
Bahrain,Asia,2010,24012.80725,76.203,1261835
Swaziland,Africa,2010,5163.288425,48.398,1186056
Timor-Leste,Asia,2010,2987.64296,65.952,1124355
Cyprus,Europe,2010,24436.9442,79.348,1103647
Djibouti,Africa,2010,2165.763841,60.307,888716
Fiji,Oceania,2010,4074.620261,69.258,860623
Guyana,S. America,2010,3937.588619,65.775,754493
Comoros,Africa,2010,1022.62455,60.223,734750
Bhutan,Asia,2010,5273.68657,67.015,725940
Equatorial Guinea,Africa,2010,13383.7634,51.483,700401
Montenegro,Europe,2010,9396.213038,74.489,631490
"Macao, China",Asia,2010,57656.72775,79.754,543656
Solomon Islands,Oceania,2010,1820.628849,67.027,538148
Suriname,S. America,2010,8431.137039,70.309,524636
Luxembourg,Europe,2010,70402.8428,80.004,507448
Cape Verde,Africa,2010,3655.839336,74.094,495999
Malta,Europe,2010,22034.2506,79.225,416515
Brunei,Asia,2010,45460.87113,77.956,398920
Bahamas,N. America,2010,21022.70646,74.757,342877
Iceland,Europe,2010,33316.46521,81.707,320136
Maldives,Asia,2010,5642.143188,76.779,315885
Belize,N. America,2010,7271.493791,73.24,311627
Barbados,N. America,2010,16223.53076,74.875,273331
Vanuatu,Oceania,2010,3959.324882,70.761,239651
Samoa,Oceania,2010,4936.378953,72.283,183081
Saint Lucia,N. America,2010,10572.64957,74.425,174267
Sao Tome and Principe,Africa,2010,1835.456105,65.93,165397
"Micronesia, Fed. Sts.",Oceania,2010,5561.49351,68.654,111064
Saint Vincent and the Grenadines,N. America,2010,6925.207789,72.174,109333
Grenada,N. America,2010,8585.78313,72.375,104487
Tonga,Oceania,2010,4834.890088,72.209,104058
Kiribati,Oceania,2010,3031.819106,67.945,99546
Antigua and Barbuda,N. America,2010,13921.51622,75.437,88710
Seychelles,Africa,2010,16341.86498,72.724,86518
Greenland,N. America,2010,38874.09331,70.775,57296
